genre,items,clip_mean_gate,clip_median_gate,clip_std,openai_mean_gate,openai_median_gate,openai_std,gate_shift_openai_minus_clip,clip_text_dominant_pct,openai_text_dominant_pct
Romance,3784,0.6518970522911428,0.6552160084247589,0.02908962370329774,0.778003993619383,0.780476838350296,0.02234188641202601,0.12610694132824019,98.9693446088795,99.86786469344608
Mystery / Thriller,2665,0.6490333347897592,0.6531562209129333,0.029531298492062034,0.777724205441144,0.7803805470466614,0.02315530124069863,0.12869087065138474,98.87429643527204,99.84990619136961
Fantasy,1499,0.6507927272580638,0.653231680393219,0.022199352142785837,0.7781768630670658,0.7798969149589539,0.018182495690361285,0.12738413580900199,99.33288859239494,99.93328885923948
Historical,1069,0.6520399501716232,0.6543567776679993,0.02631254358814486,0.7776220252962175,0.7796337604522705,0.01738265295791196,0.1255820751245943,99.0645463049579,100.0
Young Adult,913,0.6525496601862557,0.6564933657646179,0.028059349348620827,0.7786340165112131,0.7818112969398499,0.02403271553853345,0.1260843563249574,98.79518072289156,99.89047097480832
Other / Unclassified,754,0.65137812645429,0.6557159423828125,0.037717730728744084,0.7757773549945665,0.7784759700298309,0.021607347459394605,0.12439922854027641,98.54111405835543,99.86737400530504
Religion / Spirituality,687,0.659618947313342,0.661601185798645,0.028878822483972156,0.7768734824535976,0.7784583568572998,0.016531360815868434,0.11725453514025552,99.12663755458514,100.0
Science Fiction,453,0.6559580157266284,0.6580684781074524,0.022706333826849813,0.7784525207336376,0.7794516086578369,0.011741456189109852,0.1224945050070092,99.33774834437085,100.0
Horror,321,0.6477722998163039,0.6536147594451904,0.03397857741183443,0.7760030114762136,0.7799819707870483,0.02644171636384326,0.12823071165990974,97.81931464174455,100.0
Biography / Memoir,264,0.6534341575972962,0.6572264730930328,0.03459717580242808,0.7760350250385024,0.7785929143428802,0.02060408945554787,0.12260086744120624,98.48484848484848,100.0
Self-Help,75,0.6588292304674784,0.6608627438545227,0.016058017341387742,0.7787115208307902,0.7786533236503601,0.003994110964150776,0.11988229036331177,100.0,100.0
Children,56,0.6396699106054646,0.6455421149730682,0.04318574341449423,0.7725173820342336,0.7770428657531738,0.0302500139919742,0.13284747142876896,98.21428571428571,100.0
